"...1","ContactID","Country of Programming","Gender","Nationality","Speaks.English","Speaks.Arabic","Speaks.Amazigh","Speaks.French","Age","Beneficiary.Specialization","Level.of.Education","Highest.Education.Graduation.Date","Currently.Studying","Current.Institution.Type","EFE.Graduation.Date","X..of.Days.Since.Graduation","Mailing.City","Mailing.State.Province","Last.Reached.By.Survey","Number.Days.Until.Job.Placement","Earliest.Job.Placement.Start.Date","Earliest.Job.Placement.Type","Retained.Job.as.of.last.Status.Check","Number.Days.Retained.Job","Continuously.Working","X..Of.Days.Continuously.Working","pl_grad","pl_grad_data","pl_3","pl_3_data","pl_6","pl_6_data","pl_9","pl_9_data","pl_12","pl_12_data","X3.Month.Job.Retention","X3.Month.Continuously.Working","X3.Month.Post.Placement.Data.Avail.YES","X6.Month.Job.Retention","X6.Month.Continuously.Working","X6.Month.Post.Placement.Data.Avail.YES","X9.Month.Job.Retention","X9.Month.Continuously.Working","X9.Month.Post.Placement.Data.Avail.YES","X12.Month.Job.Retention","X12.Month.Continuously.Working","X12.Month.Post.Placement.Data.Avail.YES","Contact.Record.Type.y","Application.Status","Application..Created.Date","Program.would.you.like.to.apply.","Marital.Status","Expected.Graduation.Date","Currently.Working.","Currently.Looking.for.Job.","Duration.Looking.for.Job","Main.Obstacle.to.Secure.Job","Other.Obstacle","Current.Position.Type","Current.Contract.Type","Other.Contract.Type..Current.","Fixed.Term.Contract.Length..Current.","Current.Business.Start.Date","How.Created.Current.Business","Current.Business.Registered.","Business.Generating.Revenue.","Has.Had.Internship","Current.Internship.Start.Date","Has.Had.Paid.Job","Current.Employment.Start.Date","Received.Prior.Prof.Skills.Training.","Motivation.for.Training","Other.Motivation.for.Training","How.Learned.of.EFE","X1st.Preferred.Industry.of.Employment","X2nd.Preferred.Industry.of.Employment","Preferred.Industry.Other","Commit.to.Participation...Attendance","Number.Family.Members","Number.Family.Members.Working","Monthly.Family.Income","Previous.Work.Experience","Number.of.Previous.Jobs","Job.Tenure.in.Months..First.","First.Previous.Job.Salary","Reason.Left.Job..First.","Job.Tenure.in.Months..Second.","Second.Previous.Job.Salary","Reason.Left.Job..Second.","Job.Tenure.in.Months..Third.","Third.Previous.Job.Salary","Reason.Left.Job..Third.","Received.Other.Scholarship.","Scholarship.Details","Registered.Under.Social.Security","Internally.Displaced.Person.","Lives.in.IDP.camp.or.shelter.","Against.attending.training.online.","Strength.of.Applicant.Internet","Against.working.in.mixed.environment.","Years.of.Experience","English.Proficiency","Computer.Proficiency","NumApps","months_job","sorting","Retention_6_months","Retention at 6 Months","Retention_3_months","Retention at 3 Months","Retention_9_months","Retention at 9 Months","Retention_12_months","Retention at 12 Months","ConfidencePost","ConfidencePre","ConfidenceChange","ConfidencePercent","EfficacyPost","EfficacyPre","EfficacyChange","EfficacyPercent"
3374,2866,"Jordan Beneficiary","Male","Jordan",0,1,0,0,21,NA,"Tawjihi ? Incomplete",NA,0,"NA",2021-08-08,438,NA,"East Amman",2022-01-20 08:57:00,1,2021-08-09,"Unpaid internship",1,164,1,164,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,"Jordan Beneficiary","Enrolled",2021-09-10,"Job Training and Placement","Single",NA,"No","Yes","7-9 Months","Insufficient job search resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Work in Field That This Training is Focused",NA,"Friend","Factory production",NA,NA,"Yes",7,1,250,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",1,"Yes",0,"No",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3376,28,"Jordan Beneficiary","Female","Syria",0,1,0,0,28,NA,"Tawjihi ? Incomplete",NA,0,"NA",2021-01-31,627,NA,"Mafraq",2022-01-17 05:48:59,NA,NA,NA,0,0,0,NA,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jordan Beneficiary","Enrolled",2020-07-01,"Job Training and Placement","Divorced",NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Work in Field That This Training is Focused",NA,"Facebook","Factory production",NA,NA,"Yes",4,0,0,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Not Reached at 12 Months",7,NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3377,1015,"Jordan Beneficiary","Male","Jordan",0,1,0,0,21,NA,"Below Tawjihi",NA,0,"NA",2021-08-05,441,NA,"East Amman",2022-04-18 07:05:59,20,2021-08-25,"Unpaid internship",0,129,0,129,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,"Jordan Beneficiary","Enrolled",2021-03-08,"Job Training and Placement","Single",NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Improve Professional Skills",NA,"Facebook","Automotive/Mechanic",NA,NA,"Yes",7,2,560,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,0,"No",1,"Yes",0,"No",0,"No",NA,NA,NA, NA,NA,NA,NA, NA
3379,4577,"Morocco Beneficiary","Female","Morocco",0,1,1,1,24,"IT/Telecom","Bac+3",2019-07-10,0,"NA",2022-03-01,233,"Casablanca","Casablanca-Settat",2022-03-15 04:59:00,-8,2022-02-21,"Full-time",1,22,1,22,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2022-02-22,"Pathways to a Job",NA,2022-07-15,"Yes",NA,NA,NA,NA,"Paid internship","No Formal Contract",NA,NA,NA,NA,NA,NA,NA,2022-02-21,NA,NA,"No","Improve Professional Skills",NA,"My employer","IT/Telecom","Education/Training/Coaching",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3380,693,"Morocco Beneficiary","Female","Morocco",1,1,0,1,25,"Marketing/Advertising","Bac+3",2018-09-18,0,"NA",2021-01-22,636,NA,"Région de Casablanca-Settat",2021-08-23 14:54:00,10,2021-02-01,"Full-time",1,203,1,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","7-9 Months","Not yet completed university",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Learn to Plan Career Path",NA,"Event","Management/Economy",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3381,24,"Morocco Beneficiary","Male","Morocco",0,1,0,1,25,"Biology/Chemistry","Bac+3",2020-11-05,0,"NA",2021-02-20,607,"Safi","Marrakech-Safi",2021-11-19 08:08:00,NA,NA,NA,0,0,0,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-15,NA,NA,NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Professional Skills",NA,"Friend","Biology/Chemistry","Agribusiness/Food",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Not Reached at 12 Months",7,NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3383,695,"Morocco Beneficiary","Female","Morocco",1,0,0,1,28,"Industry/Materials","Bac+2",2017-02-08,0,"NA",2021-01-22,636,NA,"Ville de Casablanca",2021-08-23 14:55:00,10,2021-02-01,"Full-time",1,203,1,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","More than 1 Year","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Learn to Work Effectively On a Team",NA,"Event","Industry/Materials",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3385,685,"Morocco Beneficiary","Male","Morocco",1,1,0,1,24,"Finance/Audit","Bac+4",2018-02-07,0,"NA",2021-01-22,636,NA,"Région de Casablanca-Settat",2021-08-23 14:51:00,10,2021-02-01,"Full-time",1,203,1,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","7-9 Months","Not yet completed university",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Job Search Skills",NA,"EFE Trainer","Finance/Audit",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3387,687,"Morocco Beneficiary","Female","Morocco",0,0,0,1,21,"Industry/Materials","Bac+3",2020-05-11,0,"NA",2021-01-22,636,NA,"Région de Casablanca-Settat",2021-08-23 14:51:59,10,2021-02-01,"Full-time",1,203,1,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","More than 1 Year","Area of study not relevant to job opportunities",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Learn to Work Effectively On a Team",NA,"Facebook","Industry/Materials",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3388,5471,"Morocco Beneficiary","Female","Morocco",0,1,0,0,23,"Social Sciences","Niveau Bac / Bac",2018-07-16,0,"NA",2022-03-24,210,"Tangier","Tanger-Tétouan-Al Hoceïma",2022-07-26 05:29:00,NA,NA,NA,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2022-03-21,"Pathways to a Job",NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Learn how to interview effectively",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Not Reached at 12 Months",7,NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",24,24,0,0.00%,21,23,-2,-8.70%
3390,689,"Morocco Beneficiary","Female","Morocco",0,0,0,1,24,"Construction/Civil Engineering","Bac+2",2011-12-07,0,"NA",2021-01-22,636,NA,"Région de Casablanca-Settat",2021-08-23 14:53:00,10,2021-02-01,"Full-time",1,203,1,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","7-9 Months","Difficulty in interviewing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Learn to Work Effectively On a Team",NA,"OFPPT","Energy/Electricity",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3392,691,"Morocco Beneficiary","Female","Morocco",1,1,0,1,26,"Bank/Insurance","Bac+4",2017-02-14,0,"NA",2021-01-22,636,NA,"Région de Casablanca-Settat",2021-08-23 14:53:00,10,2021-02-01,"Full-time",1,203,1,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","10-12 Months","Difficulty in preparing a CV",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Help Me Find a Job",NA,"Family member","Bank/Insurance",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3393,5413,"Morocco Beneficiary","Male","Morocco",0,1,0,1,30,"Electronics / Automotive / Aerospace","Bac+3",2016-07-10,0,"NA",2021-07-13,464,NA,"Ville de Casablanca",2022-07-18 12:06:00,200,2022-01-29,"Full-time",1,170,1,170,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2020-12-27,NA,NA,NA,"No","Yes","7-9 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Work in Field That This Training is Focused",NA,"Facebook","IT/Telecom","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 9 Months",4,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3394,696,"Morocco Beneficiary","Female","Morocco",1,1,0,1,21,"Hospitality/Catering/Tourism","Bac+2",2016-07-06,0,"NA",2021-01-22,636,NA,"Ville de Casablanca",2021-08-23 14:55:00,10,2021-02-01,"Full-time",1,203,1,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","7-9 Months","Difficulty in interviewing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Learn to Work Effectively On a Team",NA,"EFE Alumni","Hospitality/Catering/Tourism",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3395,10,"Morocco Beneficiary","Male","Morocco",0,0,0,1,24,"Bank/Insurance","Niveau Bac / Bac",2015-12-29,0,"NA",2021-07-13,464,NA,"Ville de Casablanca",2022-07-18 11:26:00,111,2021-11-01,"Part-time",1,259,1,259,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","7-9 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Learn to Plan Career Path",NA,"Family member","Bank/Insurance",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Placed at 6 Months",3,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",22,22,0,0.00%,22,23,-1,-4.35%
3396,692,"Morocco Beneficiary","Female","Morocco",1,1,0,1,24,"Marketing/Advertising","Bac+2",2019-02-12,0,"NA",2021-01-22,636,NA,"Région de Casablanca-Settat",2021-08-23 14:54:00,10,2021-02-01,"Full-time",1,203,1,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","10-12 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Help Me Find a Job",NA,"Friend","Marketing/Advertising",NA,NA,"No",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3397,1962,"Morocco Beneficiary","Female","Morocco",1,1,0,1,24,"Management/Economy","Bac+5",2020-12-20,0,"NA",2021-06-19,488,"Meknès","Fès-Meknès",2022-05-23 11:01:00,286,2022-04-01,"Unpaid internship",1,52,1,52,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-06-06,"Pathways to a Job",NA,2024-12-30,"No","Yes","4-6 Months","Insufficient job search resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Help Me Find a Job",NA,"Friend","Management/Economy","Other","Évaluation des Politiques Publiques","Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 12 Months",5,NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3398,724,"Morocco Beneficiary","Male","Morocco",0,0,0,1,27,"Art/Crafts","Bac+2",2021-02-09,0,"NA",2021-01-28,630,NA,"Ville de Casablanca",2021-08-23 14:18:00,13,2021-02-10,"Full-time",1,194,1,194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-11,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Learn to Work Effectively On a Team",NA,"Family member","Bank/Insurance",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3399,2884,"Jordan Beneficiary","Female","Syria",0,1,0,0,34,NA,"Below Tawjihi",NA,0,"NA",2021-11-11,343,NA,"Irbid",2022-07-21 04:41:00,20,2021-12-01,"Paid internship",0,120,0,120,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,"Jordan Beneficiary","Enrolled",2021-09-10,"Job Training and Placement","Married",NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Work in Field That This Training is Focused",NA,"Facebook","Agriculture",NA,NA,"Yes",6,1,150,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,0,"No",1,"Yes",0,"No",0,"No",25,25,0,0.00%,25,24,1,4.17%
3400,726,"Morocco Beneficiary","Female","Morocco",0,0,0,1,25,"Art/Crafts","Niveau Bac + 2",2020-02-04,0,"NA",2021-01-28,630,NA,"Région de Casablanca-Settat",2021-08-23 14:22:00,13,2021-02-10,"Full-time",1,194,1,194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-11,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Learn to Work Effectively On a Team",NA,"ANAPEC","Biology/Chemistry",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3401,2994,"SaudiArabia Beneficiary","Male","Bahrain",0,1,0,0,22,"No Specialization or specific area of study","Other",2017-11-18,0,"NA",2021-12-09,315,NA,"Other",2022-08-03 04:46:00,3,2021-12-12,"Full-time",1,234,1,234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"SaudiArabia Beneficiary","Enrolled",2021-11-21,"Job Training and Placement","Single",NA,"No","Yes","4-6 Months","Difficulty in preparing a cover letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"No","Improve Professional Skills",NA,"EFE Trainer","Airlines/Aviation","Tourism/hospitality",NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","3 years","Intermediate",NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",19,24,-5,-20.83%,19,24,-5,-20.83%
3402,728,"Morocco Beneficiary","Female","Morocco",0,0,0,1,27,"Construction/Civil Engineering","Bac+3",2021-02-01,0,"NA",2021-01-28,630,NA,"Région de Casablanca-Settat",2021-08-23 14:21:00,13,2021-02-10,"Full-time",1,194,1,194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-11,NA,NA,NA,"No","Yes","4-6 Months","Difficulty in preparing a CV",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Learn to Work Effectively On a Team",NA,"Event","Bank/Insurance",NA,NA,"No",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3403,437,"Morocco Beneficiary","Female","Morocco",1,0,0,1,22,"Communication/Audio-Visual/Infographic","Bac+4",2018-11-19,0,"NA",2021-07-13,464,NA,"Ville de Casablanca",2022-07-18 11:02:00,125,2021-11-15,"Full-time",1,245,1,245,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","4-6 Months","Difficulty in preparing a cover letter",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Learn to Work Effectively On a Team",NA,"ANAPEC","Communication/Audio-Visual/Infographic",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Placed at 6 Months",3,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",19,20,-1,-5.00%,21,21,0,0.00%
3404,725,"Morocco Beneficiary","Female","Morocco",0,0,0,1,26,"Marketing/Advertising","Bac+4",2021-02-11,0,"NA",2021-01-28,630,NA,"Ville de Safi",2021-08-23 14:19:59,13,2021-02-10,"Full-time",1,194,1,194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-11,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Work in Field That This Training is Focused",NA,"Friend","Marketing/Advertising",NA,NA,"No",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
3405,31,"Morocco Beneficiary","Female","Morocco",1,1,0,1,29,"Other","Bac+5",2018-02-01,0,"NA",2021-07-13,464,"Casablanca","Casablanca-Settat",2022-03-03 09:58:00,NA,NA,NA,0,0,0,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-02-10,NA,NA,NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Help Me Find a Job",NA,"EFE Alumni","Art/Crafts",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Not Reached at 12 Months",7,NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",NA,"Data Not Available",22,23,-1,-4.35%,24,23,1,4.35%
3406,466,"Morocco Beneficiary","Male","Other",0,0,0,1,28,"Other","Bac+2",2019-07-13,0,"NA",2021-07-13,464,NA,"Ville de Casablanca",2022-08-24 11:42:00,252,2022-03-22,"Full-time",1,155,1,155,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-01-06,NA,NA,2021-11-04,"Yes",NA,NA,NA,NA,"Unpaid internship",NA,NA,NA,NA,NA,NA,NA,NA,2021-01-05,"Yes",NA,"Yes","Improve Professional Skills",NA,"Facebook","Bank/Insurance","Commerce/Sales/Distribution/Purchases",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 9 Months",4,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
